year;local_avg_temp;local_10mov_avg;global_avg_temp;global_10mov_avg
1962;26.1;25.302;8.75;8.67
1963;25.54;25.305;8.86;8.669
1964;25.14;25.239;8.41;8.654
1965;25.59;25.265;8.53;8.644
1966;26.16;25.379;8.6;8.676
1967;24.87;25.397;8.7;8.673
1968;25.21;25.354;8.52;8.648
1969;26.05;25.545;8.6;8.635
1970;25.84;25.562;8.7;8.647
1971;24.93;25.543;8.6;8.627
1972;24.74;25.407;8.5;8.602
1973;25.6;25.413;8.95;8.611
1974;25.4;25.439;8.47;8.617
1975;25.04;25.384;8.74;8.638
1976;24.97;25.265;8.35;8.613
1977;25.99;25.377;8.85;8.628
1978;25.95;25.451;8.69;8.645
1979;26.2;25.466;8.73;8.658
1980;25.83;25.465;8.98;8.686
1981;25.95;25.567;9.17;8.743
1982;24.62;25.555;8.64;8.757
1983;24.85;25.48;9.03;8.765
1984;25.05;25.445;8.69;8.787
1985;25.3;25.471;8.66;8.779
1986;25.36;25.51;8.83;8.827
1987;26.37;25.548;8.99;8.841
1988;25.99;25.552;9.2;8.892
1989;25.05;25.437;8.92;8.911
1990;25.7;25.424;9.23;8.936
1991;25.43;25.372;9.18;8.937
1992;24.37;25.347;8.84;8.957
1993;25.42;25.404;8.87;8.941
1994;26.08;25.507;9.04;8.976
1995;25.64;25.541;9.35;9.045
1996;26.28;25.633;9.04;9.066
1997;25.49;25.545;9.2;9.087
1998;26.73;25.619;9.52;9.119
1999;26.92;25.806;9.29;9.156
2000;26.55;25.891;9.2;9.153
2001;26.67;26.015;9.41;9.176
2002;26.44;26.222;9.57;9.249
2003;26.62;26.342;9.53;9.315
2004;26.2;26.354;9.32;9.343
2005;26.27;26.417;9.7;9.378
2006;26.24;26.413;9.53;9.427
2007;26.49;26.513;9.73;9.48
2008;26.21;26.461;9.43;9.471
2009;26.71;26.44;9.51;9.493
2010;27.37;26.522;9.7;9.543
2011;26.4;26.495;9.52;9.554
2012;26.83;26.534;9.51;9.548
2013;27.78;26.65;9.61;9.556
